name,repo,reference_url,source_type
CMSIS-NN,https://github.com/ARM-software/CMSIS-NN,,repo
CMSIS_5,https://github.com/ARM-software/CMSIS_5,,repo
CnC_Red_Alert,https://github.com/electronicarts/CnC_Red_Alert,,repo
cntk,https://github.com/microsoft/CNTK,,repo
commonapi-tools,https://github.com/COVESA/capicxx-core-tools,,repo
ComputeLibrary,https://github.com/ARM-software/ComputeLibrary,,repo
conscrypt,https://github.com/google/conscrypt,,repo
contiki-ng,https://github.com/contiki-ng/contiki-ng,,repo
CopyQ,https://github.com/hluk/CopyQ,,repo
coreboot,https://github.com/coreboot/coreboot,,repo
coreHTTP,https://github.com/FreeRTOS/coreHTTP,,repo
coreJSON,https://github.com/FreeRTOS/coreJSON,,repo
coreMQTT,https://github.com/FreeRTOS/coreMQTT,,repo
coreMQTT-Agent,https://github.com/FreeRTOS/coreMQTT-Agent,,repo
corePKCS11,https://github.com/FreeRTOS/corePKCS11,,repo
coreSNTP,https://github.com/FreeRTOS/coreSNTP,,repo
coreutils,https://git.savannah.gnu.org/git/coreutils.git,,repo
cosmopolitan,https://github.com/jart/cosmopolitan,,repo
cosmos,https://github.com/OpenGenus/cosmos,,repo
cpp-httplib,https://github.com/yhirose/cpp-httplib,,repo
cpprestsdk,https://github.com/microsoft/cpprestsdk,,repo
cpputest,https://github.com/cpputest/cpputest,,repo
cppwinrt,https://github.com/microsoft/cppwinrt,,repo
cpr,https://github.com/libcpr/cpr,,repo
crosstool-ng,https://github.com/crosstool-ng/crosstool-ng,,repo
crow,https://github.com/ipkn/crow,,repo
CSPostgraduate-408,https://github.com/CodePanda66/CSPostgraduate-408,,repo
curl,https://github.com/curl/curl,,repo
cute_headers,https://github.com/RandyGaul/cute_headers,,repo
cutter,https://github.com/rizinorg/cutter,,repo
cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds,,repo
cyw43-driver,https://github.com/georgerobotics/cyw43-driver,,repo
DALI,https://github.com/NVIDIA/DALI,,repo
darwin-xnu,https://github.com/apple/darwin-xnu,,repo
dbus,https://gitlab.freedesktop.org/dbus/dbus,,repo
dcmqi,https://github.com/QIICR/dcmqi,,repo
dcmtk,https://github.com/DCMTK/dcmtk,,repo
deepin-wine-ubuntu,https://github.com/wszqkzqk/deepin-wine-ubuntu,,repo
DeepMind Lab,https://github.com/google-deepmind/lab,,repo
