period,date,total_scans_started,unique_projects,new_projects,existing_projects,unique_versions,server_completed_scans,external_completed_scans,total_completed_scans,failed_scans,stuck_scans,recently_queued,still_active_scans,success_rate,completion_rate,avg_duration_minutes,median_duration_minutes,min_duration_minutes,max_duration_minutes,avg_active_time_minutes,max_active_time_minutes,avg_initial_time_minutes,max_initial_time_minutes,avg_started_time_minutes,max_started_time_minutes,sca_scans,sast_scans,config_scans,source_sca_scans,vulnerability_analysis_scans,sbom_import_scans,sca_failures,sast_failures,config_failures,vulnerability_analysis_failures,failure_rate
2026-02-10,2026-02-10,90,4,3,1,25,90,0,90,0,0,0,0,100.0,100.0,8,7,3,15,0,0,0,0,0,0,25,20,20,0,25,0,0.0,0.0,0.0,0.0,0.0
Overall Summary,Total,90,4,3,1,25,90,0,90,0,0,0,0,100.0,100.0,8,7,3,15,0,0,0,0,0,0,25,20,20,0,25,0,,,,,
